Flight No.,Date,Time,Version Booster,Launch site,Payload,Payload mass,Orbit,Customer,Launch Outcome,Booster landing
35,03-Jun-17,21:07,F9 FT,KSC,SpaceX CRS-11,"2,708 kg",LEO,NASA,"Success
",Success
36,23-Jun-17,19:10,F9 FTB1029.2,KSC,BulgariaSat-1,"3,669 kg",GTO,Bulsatcom,"Success
",Success
37,25-Jun-17,20:25,F9 FT,VAFB,Iridium NEXT,"9,600 kg",LEO,Iridium Communications,"Success
",Success
38,05-Jul-17,23:38,F9 FT,KSC,Intelsat 35e,"6,761 kg",GTO,Intelsat,"Success
",No attempt
39,14-Aug-17,16:31,F9 B4,KSC,SpaceX CRS-12,"3,310 kg",LEO,NASA,"Success
",Success
40,24-Aug-17,18:51,F9 FT,VAFB,Formosat-5,475 kg,SSO,NSPO,"Success
",Success
41,07-Sep-17,14:00,F9 B4,KSC,Boeing X-37B,"4,990 kg",LEO,USAF,"Success
",Success
42,09-Oct-17,12:37,F9 B4,VAFB,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,"Success
",Success
43,11-Oct-17,22:53:00,F9 FTB1031.2,KSC,SES-11,"5,200 kg",GTO,SES S.A.,"Success
",Success
44,30-Oct-17,19:34,F9 B4,KSC,Koreasat 5A,"3,500 kg",GTO,KT Corporation,"Success
",Success
45,15-Dec-17,15:36,F9 FTB1035.2,Cape Canaveral,SpaceX CRS-13,"2,205 kg",LEO,NASA,"Success
",Success
46,23-Dec-17,01:27,F9 FTB1036.2,VAFB,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,Success,Controlled
47,08-Jan-18,01:00,F9 B4,CCAFS,Zuma,C,LEO,Northrop Grumman,Success,Success
48,31-Jan-18,21:25,F9 FTB1032.2,CCAFS,GovSat-1,"4,230 kg",GTO,SES,Success,Controlled
49,22-Feb-18,14:17,F9 FTB1038.2,VAFB,Paz,"2,150 kg",SSO,Hisdesat,Success,No attempt
50,06-Mar-18,05:33,F9 B4,CCAFS,Hispasat 30W-6,"6,092 kg",GTO,Hispasat,Success,No attempt
51,30-Mar-18,14:14,F9 B4B1041.2,VAFB,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,Success,No attempt
52,02-Apr-18,20:30,F9 B4B1039.2,CCAFS,SpaceX CRS-14,"2,647 kg",LEO,NASA,Success,No attempt
53,18-Apr-18,22:51,F9 B4,CCAFS,Transiting Exoplanet Survey Satellite,362 kg,HEO,NASA,Success,Success
54,11-May-18,20:14,F9 B5B1046.1,KSC,Bangabandhu-1,"3,600 kg",GTO,Thales-Alenia,Success,Success
55,22-May-18,19:47,F9 B4B1043.2,VAFB,Iridium NEXT,"6,460 kg",Polar,Iridium Communications,Success,No attempt
56,04-Jun-18,04:45,F9 B4B1040.2,CCAFS,SES-12,"5,384 kg",GTO,SES,Success,No attempt
57,29-Jun-18,09:42,F9 B4B1045.2,CCAFS,SpaceX CRS-15,"2,697 kg",LEO,NASA,Success,No attempt
58,22-Jul-18,05:50,F9 B5,CCAFS,Telstar 19V,"7,075 kg",GTO,Telesat,Success,Success
59,25-Jul-18,11:39,F9 B5B1048,VAFB,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,Success,Success
60,07-Aug-18,05:18,F9 B5B1046.2,CCAFS,Merah Putih,"5,800 kg",GTO,Telkom Indonesia,Success,Success
61,10-Sep-18,04:45,F9 B5,CCAFS,Telstar 18V,"7,060 kg",GTO,Telesat,Success,Success
62,08-Oct-18,02:22,F9 B5B1048.2,VAFB,SAOCOM 1A,"3,000 kg",SSO,CONAE,Success,Success
63,15-Nov-18,20:46,F9 B5B1047.2,KSC,Es'hail 2,"5,300 kg",GTO,Es'hailSat,Success,Success
64,03-Dec-18,18:34:05,F9 B5B1046.3,VAFB,SSO-A,"~4,000 kg",SSO,Spaceflight Industries,Success,Success
65,05-Dec-18,18:16,F9 B5,CCAFS,SpaceX CRS-16,"2,500 kg",LEO,NASA,"Success
",Failure
66,23-Dec-18,13:51,F9 B5,CCAFS,GPS III,"4,400 kg",MEO,USAF,Success,No attempt
67,11-Jan-19,15:31,F9 B5B1049.2,VAFB,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,"Success
",Success
68,22-Feb-19,01:45,F9 B5B1048.3,CCAFS,Nusantara Satu,"4,850 kg",GTO,PSN,"Success
",Success
69,02-Mar-19,07:49,F9 B5[268],KSC,Crew Dragon Demo-1,"12,055 kg",LEO,NASA,"Success
",Success
70,04-May-19,06:48,F9 B5,CCAFS,SpaceX CRS-17,"2,495 kg",LEO,NASA,"Success
",Success
71,24-May-19,02:30,F9 B5B1049.3,CCAFS,Starlink,"13,620 kg",LEO,SpaceX,"Success
",Success
72,12-Jun-19,14:17,F9 B5B1051.2,VAFB,RADARSAT Constellation,"4,200 kg",SSO,Canadian Space Agency,"Success
",Success
73,25-Jul-19,22:01,F9 B5B1056.2,CCAFS,SpaceX CRS-18,"2,268 kg",LEO,NASA,"Success
",Success
74,06-Aug-19,23:23,F9 B5B1047.3,CCAFS,AMOS-17,"6,500 kg",GTO,Spacecom,"Success
",No attempt
75,11-Nov-19,14:56,F9 B5,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",Success
76,05-Dec-19,17:29,F9 B5,CCAFS,SpaceX CRS-19,"2,617 kg",LEO,NASA,"Success
",Success
77,17-Dec-19,00:10,F9 B5B1056.3,CCAFS,JCSat-18,"6,956 kg",GTO,Sky Perfect JSAT,"Success
",Success
78,07-Jan-20,02:19:21,F9 B5,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",Success
79,19-Jan-20,15:30,F9 B5,KSC,Crew Dragon in-flight abort test,"12,050 kg",Sub-orbital,NASA,"Success
","No attempt
"
80,29-Jan-20,14:07,F9 B5,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",Success
81,17-Feb-20,15:05,F9 B5,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",Failure
82,07-Mar-20,04:50,F9 B5,CCAFS,SpaceX CRS-20,"1,977 kg",LEO,NASA,"Success
",Success
83,18-Mar-20,12:16,F9 B5,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",Failure
84,22-Apr-20,19:30,F9 B5,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",Success
85,30-May-20,19:22,F9 B5,KSC,Crew Dragon Demo-2,"12,530 kg",LEO,NASA,"Success
",Success
86,04-Jun-20,01:25,F9 B5,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",Success
87,13-Jun-20,09:21,F9 B5,CCAFS,Starlink,"15,410 kg",LEO,SpaceX,"Success
",Success
88,30-Jun-20,20:10:46,F9 B5,CCAFS,GPS III,"4,311 kg",MEO,U.S. Space Force,"Success
",Success
89,20-Jul-20,21:30,F9 B5B1058.2,CCAFS,ANASIS-II,"5,000–6,000 kg",GTO,Republic of Korea Army,"Success
",Success
90,07-Aug-20,05:12,F9 B5,KSC,Starlink,"14,932 kg",LEO,SpaceX,"Success
",Success
91,18-Aug-20,14:31,F9 B5B1049.6,CCAFS,Starlink,"~15,440 kg",LEO,SpaceX,"Success
",Success
92,30-Aug-20,23:18,F9 B5,CCAFS,SAOCOM 1B,"3,130 kg",SSO,CONAE,"Success
",Success
93,03-Sep-20,12:46:14,F9 B5B1060.2,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",Success
94,06-Oct-20,11:29:34,F9 B5B1058.3,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",Success
95,18-Oct-20,12:25:57,F9 B5B1051.6,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",Success
96,24-Oct-20,15:31:34,F9 B5,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",Success
97,05-Nov-20,23:24:23,F9 B5,CCAFS,GPS III,"4,311 kg",MEO,USSF,"Success
",Success
98,16-Nov-20,00:27,F9 B5,KSC,Crew-1,"~12,500 kg",LEO,NASA,"Success
",Success
99,21-Nov-20,17:17:08,F9 B5,VAFB,Sentinel-6 Michael Freilich (Jason-CS A),"1,192 kg",LEO,NASA,"Success
",Success
100,25-Nov-20,02:13,F9 B5 ♺,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",Success
101,06-Dec-20,16:17:08,F9 B5 ♺,KSC,SpaceX CRS-21,"2,972 kg",LEO,NASA,"Success
",Success
102,13-Dec-20,17:30:00,F9 B5 ♺,CCSFS,SXM-7,"7,000 kg",GTO,Sirius XM,"Success
",Success
103,19-Dec-20,14:00:00,F9 B5 ♺,KSC,NROL-108,C,LEO,NRO,"Success
",Success
104,08-Jan-21,02:15,F9 B5,CCSFS,Türksat 5A,"3,500 kg",GTO,Türksat,"Success
",Success
105,20-Jan-21,13:02,F9 B5B1051.8,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",Success
106,24-Jan-21,15:00,F9 B5B1058.5,CCSFS,Transporter-1,"~5,000 kg",SSO,,"Success
",Success
107,04-Feb-21,06:19,F9 B5 ♺,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",Success
108,16-Feb-21,03:59:37,F9 B5 ♺,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",Failure
109,04-Mar-21,08:24,F9 B5 ♺,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",Success
110,11-Mar-21,08:13:29,F9 B5 ♺,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",Success
111,14-Mar-21,10:01,F9 B5 ♺,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",Success
112,24-Mar-21,08:28,F9 B5B1060.6,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",Success
113,07-Apr-21,16:34,F9 B5 ♺,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",Success
114,23-Apr-21,09:49,F9 B5B1061.2,KSC,Crew-2,"~13,000 kg",LEO,NASA,"Success
",Success
115,29-Apr-21,03:44,F9 B5B1060.7,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",Success
116,04-May-21,19:01,F9 B5B1049.9,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",Success
117,09-May-21,06:42,F9 B5B1051.10,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",Success
118,15-May-21,22:56,F9 B5B1058.8,KSC,Starlink,"~14,000 kg",LEO,SpaceX,"Success
",Success
119,26-May-21,18:59,F9 B5B1063.2,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",Success
120,03-Jun-21,17:29,F9 B5B1067.1,KSC,SpaceX CRS-22,"3,328 kg",LEO,NASA,"Success
",Success
121,06-Jun-21,04:26,F9 B5,CCSFS,SXM-8,"7,000 kg",GTO,Sirius XM,"Success
",Success
